title,ontology/activeYearsStartYear,ontology/predecessor_label,ontology/parent_label,ontology/deathPlace_label,ontology/successor_label,ontology/title,ontology/activeYearsEndYear,ontology/birthPlace_label,http://purl.org/dc/elements/1.1/description,ontology/deathYear,ontology/spouse_label,ontology/birthYear,ontology/restingPlace_label,ontology/alias,http://www.w3.org/2002/07/owl#differentFrom_label,ontology/deathDate,ontology/birthDate,http://www.w3.org/2000/01/rdf-schema#seeAlso_label,ontology/occupation_label,http://www.w3.org/2003/01/geo/wgs84_pos#long,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.georss.org/georss/point,ontology/viafId,ontology/birthName,ontology/royalAnthem_label,ontology/royalAnthem,ontology/soundRecording,ontology/soundRecording_label,ontology/nationality_label,ontology/nationality,ontology/imdbId,ontology/country_label,ontology/personFunction_label,ontology/education_label,ontology/personFunction,ontology/education,ontology/knownFor_label,ontology/knownFor,ontology/almaMater,ontology/almaMater_label,ontology/residence,ontology/residence_label,ontology/networth,ontology/board,ontology/board_label,ontology/stateOfOrigin,ontology/stateOfOrigin_label,ontology/relative_label,ontology/relative
"Joanna_of_Aragon,_Countess_of_Foix",1392,,"[""John I of Aragon"",""Martha of Armagnac""]",Valencia,,,1407,Daroca,Aragonese infanta,1407,Matthew Count of Foix,1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joanna_of_Aragon,_Queen_of_Naples",1476,,"[""John II of Aragon and Navarre"",""Juana Enríquez""]","[""Italy"",""Naples""]",,,1494,"[""Barcelona"",""Spain""]",,,Ferdinand I of Naples,,,,,1517-01-09,1454-06-16,Italian Wars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joanna_of_Austria,_Grand_Duchess_of_Tuscany",1574,,"[""Ferdinand I Holy Roman Emperor"",""Anne of Bohemia and Hungary""]","[""Florence"",""Grand Duchy of Tuscany""]",,,1578,"[""Prague"",""Kingdom of Bohemia""]",,,Francesco I de' Medici Grand Duke of Tuscany,,,,,1578-04-11,1547-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joanna_of_Austria,_Princess_of_Portugal",,,"[""Charles V Holy Roman Emperor"",""Isabella of Portugal""]",El Escorial,,Princess of Portugal,,Madrid,,,João Manuel Prince of Portugal,,,,,1573-09-07,1535-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanna_of_Bavaria,1378,,"[""Albert I Duke of Bavaria"",""Margaret of Brieg""]",,,,1386,,German Queen consort,1386,Wenceslaus IV of Bohemia,1362,Prague Castle,,,1386-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanna_of_Bourbon,1364,,"[""Peter I Duke of Bourbon"",""Isabella of Valois Duchess of Bourbon""]",,,,1378,Vincennes,,,Charles V of France,,Basilica of St Denis,,,1378-02-06,1338-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanna_of_Castile,1504,"[""Ferdinand II of Aragon"",""Isabella I of Castile""]","[""Ferdinand II of Aragon"",""Isabella I of Castile""]",Tordesillas,Charles V Holy Roman Emperor,,,Toledo Spain,,,Philip I of Castile,,,,,1555-04-12,1479-11-06,"[""Ferdinand II of Aragon"",""Descendants_of_Isabella_I_of_Castile""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanna_of_Flanders,1341,,"[""Louis I Count of Nevers"",""Joan Countess of Rethel""]",,,,1341,,,,John of Montfort,,,,"[""Countess of Flanders"",""Joan""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanna_of_Rožmitál,1458,,,Mělník,,,1471,,Queen of Bohemia,1475,George of Poděbrady,,,,,1475-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joannes,0423,"[""Honorius (emperor)"",""Constantius III""]",,Aquileia,Valentinian III,Usurperof theWestern Roman Empire,0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jobst_of_Moravia,1410,Rupert King of Germany,"[""John Henry Margrave of Moravia"",""Margaret of Opava""]","[""Brno"",""Margraviate of Moravia""]",Sigismund Holy Roman Emperor,,1411,,,,,,,,,1411-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jocelyn_Lucas,,,,,,,,,British politician,1980,,1889,,,,1980-05-02,1889-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jodha_of_Mandore,,,,,,,,,,,,,,,,1489-04-06,1416-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel_Hulu_Mahoe,,,Kamanawa II,"[""Honolulu"",""Kauai"",""Koloa Hawaii""]",,,,"[""Hawaii (island)"",""Kona District Hawaii""]",Hawaiian noble and missionary,1891,,1831,,,,1891-01-23,1831-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann,_Count_of_Leiningen-Dagsburg-Falkenburg",,,House of Leiningen,"[""Mülheim"",""Broich_Castle""]",,Count of Leiningen-Dagsburg,,"[""Mülheim"",""Broich_Castle""]",Count of Leiningen and Dagsburg (1688-1698),1698,Countess Johanna Magdalene of Hanau-Lichtenberg,1662,,Johann Karl August von Leiningen-Dagsburg (German),,1698-11-13,1662-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann_Ernst_III,_Duke_of_Saxe-Weimar",1683,John Ernest II Duke of Saxe-Weimar,"[""John Ernest II Duke of Saxe-Weimar"",""Christine_Elisabeth_of_Schleswig-Holstein-Sonderburg""]",Weimar,Ernest Augustus I Duke of Saxe-Weimar-Eisenach,,1683,Weimar,Duke of Saxe-Weimar (1683-1707),1707,"[""Princess Sophie Auguste of Anhalt-Zerbst"",""Landgravine Charlotte of Hesse-Homburg""]",1664,,John Ernest III,,1707-05-10,1664-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann_Georg,_Chevalier_de_Saxe",,,"[""Augustus II the Strong"",""Ursula Katharina Lubomirska""]","[""Dresden"",""Zinzendorfschen_Garden""]",,"[""Chevalier de Saxe"",""Governor of Dresden""]",,,German general,1774,,1704,Dresden,,,1774-02-25,1704-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann_II,_Duke_of_Saxe-Weimar",1602,Friedrich Wilhelm I Duke of Saxe-Weimar,"[""Johann Wilhelm Duke of Saxe-Weimar"",""Dorothea Susanne of Simmern""]","[""Holy Roman Empire"",""Weimar"",""Saxe-Weimar""]","[""Albert IV Duke of Saxe-Eisenach"",""John Ernest I Duke of Saxe-Weimar"",""Ernest I Duke of Saxe-Gotha""]",,1605,"[""Holy Roman Empire"",""Weimar"",""Electorate of Saxony""]",German duke,1605,Dorothea Maria of Anhalt,1570,,,,1605-07-18,1570-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann_II,_Prince_of_Liechtenstein",1858,Aloys II Prince of Liechtenstein,"[""Aloys II Prince of Liechtenstein"",""Countess Franziska Kinsky of Wchinitz and Tettau""]","[""Czechoslovakia"",""Valtice""]",Franz I Prince of Liechtenstein,,,"[""Moravia"",""Lednice""]",,,,,Vranov (Brno-Country District),,,1929-02-11,1840-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johann_II_of_Nassau-Saarbrücken,1429,Philipp I Count of Nassau-Weilburg,"[""Philipp I Count of Nassau-Weilburg"",""Elisabeth of Lorraine-Vaudémont""]",Vehingen,John Louis Count of Nassau-Saarbrücken,,1472,Saarbrücken,Count of Nassau-Saarbrücken (1429-1472),1472,,1423,,Johann II. von Nassau-Saarbrücken (German),,1472-07-15,1423-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann_I_Joseph,_Prince_of_Liechtenstein",1805,Aloys I Prince of Liechtenstein,"[""Franz Joseph I Prince of Liechtenstein"",""Leopoldine von Sternberg""]",Vienna,Aloys II Prince of Liechtenstein,,1836,Vienna,,,Landgravine Josepha of Fürstenberg-Weitra,,Brno,,,1836-04-20,1760-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann_Leopold,_Hereditary_Prince_of_Saxe-Coburg_and_Gotha",,,"[""Charles Edward Duke of Saxe-Coburg and Gotha"",""Princess Victoria Adelaide of Schleswig-Holstein""]",Grein Austria,,Hereditary Prince of Saxe-Coburg and Gotha,,Coburg,,,,,,,,1972-05-04,1906-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann_Nepomuk_Karl,_Prince_of_Liechtenstein",1732,Joseph Wenzel I Prince of Liechtenstein,Joseph Johann Adam Prince of Liechtenstein,Vyškov,Joseph Wenzel I Prince of Liechtenstein,Prince of Liechtenstein,1748,,,,,,Brno,,,1748-12-22,1724-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann_Philipp,_Duke_of_Saxe-Altenburg",1603,Johann II Duke of Saxe-Weimar,"[""Friedrich Wilhelm I Duke of Saxe-Weimar"",""Countess Palatine Anna Maria of Neuburg""]",Altenburg,Friedrich Wilhelm II Duke of Saxe-Altenburg,,1603,Torgau,German Duke,1639,Elisabeth of Brunswick-Wolfenbüttel Duchess of Saxe-Altenburg,1597,,,,1639-04-01,1597-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann_Wilhelm,_Duke_of_Saxe-Jena",1678,Bernhard II Duke of Saxe-Jena,"[""Bernhard II Duke of Saxe-Jena"",""Marie Charlotte de la Trémoille""]",Jena,"[""Saxe-Weimar"",""Saxe-Eisenach""]",,1690,Jena,german noble,1690,,1675,,,,1690-11-04,1675-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann_Wilhelm,_Duke_of_Saxe-Weimar",1566,John Frederick II Duke of Saxony,"[""John Frederick I Elector of Saxony"",""Sibylle of Cleves""]","[""Holy Roman Empire"",""Weimar"",""Saxe-Weimar""]",,,1572,"[""Holy Roman Empire"",""Torgau"",""Electorate of Saxony""]",German Duke,1573,Dorothea Susanne of Simmern,1530,,,,1573-03-02,1530-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann_Wilhelm,_Elector_Palatine",1690,Philip William Elector Palatine,"[""Philip William Elector Palatine"",""Landgravine Elisabeth Amalie of Hesse-Darmstadt""]",Düsseldorf,Charles III Philip Elector Palatine,,1716,Düsseldorf,,,"[""Anna Maria Luisa de' Medici"",""Archduchess Maria Anna Josepha of Austria""]",,St. Andreas Düsseldorf,,,1716-06-08,1658-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johann_von_Tiefen,,,,"[""Lviv"",""Kingdom of Poland (1385–1569)""]",,Grand Master of the Teutonic Knights,,Old Swiss Confederacy,,,,,Königsberg Cathedral,,,1497-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johanna_Elisabeth_of_Baden-Durlach,,,"[""Frederick VII Margrave of Baden-Durlach"",""Augusta Marie of Holstein-Gottorp""]",,,Duchess consort of Württemberg-Stuttgart,,"[""Durlach"",""Karlsburg Castle""]",Duchess of Württemberg,1757,Eberhard Louis Duke of Württemberg,1680,,,,1757-07-02,1680-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johanna_Magdalena_of_Saxe-Altenburg,1671,,"[""Friedrich Wilhelm II Duke of Saxe-Altenburg"",""Magdalene Sibylle of Saxony""]",Weißenfels,,,1680,Altenburg,,,Johann Adolf I Duke of Saxe-Weissenfels,,,,,1686-01-22,1656-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johanna_Magdalene_of_Saxe-Weissenfels,,,"[""Johann Georg Duke of Saxe-Weissenfels"",""Fredericka Elisabeth of Saxe-Eisenach""]",,,Duchess of Courland,,,,,Ferdinand Kettler,,,,,1760-01-25,1708-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johanna_Walpurgis_of_Leiningen-Westerburg,1672,,,Dahme Brandenburg,,,1680,Schaumburg,,,Augustus Duke of Saxe-Weissenfels,,,,,1687-11-04,1647-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johannes,_11th_Prince_of_Thurn_and_Taxis",,,"[""Karl August 10th Prince of Thurn and Taxis"",""Princess Maria Anna of Braganza""]","[""Germany"",""Munich""]",,Prince of Thurn and Taxis,,"[""Weimar Republic"",""Regensburg""]",German prince,1990,Gloria Princess of Thurn and Taxis,1926,"[""Regensburg"",""St. Emmeram's Abbey""]",,,1990-12-14,1926-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johannetta_of_Sayn-Wittgenstein_(1632-1701),1662,,"[""Louise Juliane of Erbach"",""Ernest_Count_of_Sayn-Wittgenstein-Sayn""]",Jena,,,1671,,,,"[""John George I Duke of Saxe-Eisenach"",""John of Hesse-Braubach""]",,,,,1701-09-28,1632-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_3rd_Earl_of_Kent",,,"[""Margaret Wake 3rd Baroness Wake of Liddell"",""Edmund of Woodstock 1st Earl of Kent""]",,Joan of Kent,,,"[""Sussex"",""Arundel Castle""]",BRitish Earl,1352,,1330,Winchester,,,1352-12-26,1330-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Constable_of_Portugal",,,"[""John I of Portugal"",""Philippa of Lancaster""]","[""Kingdom of Portugal"",""Alcácer do Sal""]",,"[""Constable of Portugal"",""Lord of Reguengos de Monsaraz Colares and Belas""]",,"[""Kingdom of Portugal"",""Santarém Portugal""]",,,Isabel of Barcelos,,,,,1442-10-18,1400-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Duke_of_Berry",,,"[""John II of France"",""Bonne of Bohemia""]",Paris,,Duke of Berry,,Château de Vincennes,,,"[""Joan II Countess of Auvergne"",""Joan of Armagnac""]",,,,,1416-06-15,1340-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Duke_of_Durazzo",,,"[""Charles II of Naples"",""Mary of Hungary Queen of Naples""]",,,Duke of Durazzo Prince of Achaea Count of Gravina,,,,,Matilda of Hainaut,,,,,1336-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Duke_of_Touraine",1415,Louis Duke of Guyenne,"[""Charles VI of France"",""Isabeau of Bavaria""]",Compiègne,Charles VII of France,Dauphin of France Duke of Touraine,1417,,,,Jacqueline Countess of Hainaut,,,,,1417-04-05,1398-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Duke_of_Valencia_de_Campos",,,"[""Peter I of Portugal"",""Inês de Castro""]","[""Crown of Castile"",""Salamanca""]",,"[""Duke of Valencia de Campos"",""Lord of Porto de Moz Cea and Montelonso"",""Lord of Alba de Tormes""]",,"[""Kingdom of Portugal"",""Coimbra""]",,,,,Salamanca,,"[""John_of_Castile"",""Lord_of_Valencia_de_Campos""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Duke_of_Östergötland",,,"[""John III of Sweden"",""Gunilla Bielke""]","[""Norrköping Municipality"",""Sweden"",""Östergötland"",""Bråviken"",""Bråborg Castle""]",,Duke of Östergötland,,"[""Uppsala"",""Sweden"",""Uppsala Castle""]",,,Princess Maria Elizabeth of Sweden,,,,,1618-03-05,1589-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Elector_of_Saxony",1525,Frederick III Elector of Saxony,"[""Ernest Elector of Saxony"",""Elisabeth of Bavaria Electress of Saxony""]","[""Holy Roman Empire"",""Electorate of Saxony"",""Schweinitz""]",John Frederick I Elector of Saxony,,1525,"[""Holy Roman Empire"",""Meissen"",""Electorate of Saxony""]",Elector of Saxony (1525–1532),1532,"[""Margaret of Anhalt-Köthen"",""Sophie of Mecklenburg (1481–1503)""]",1468,,Johann der Beständige (German),,1532-08-16,1468-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Hereditary_Prince_of_Saxony",,,"[""George Duke of Saxony"",""Barbara Jagiellon""]",Dresden,,Hereditary Prince of Saxony,,Dresden,German prince,1537,Elisabeth of Hesse Hereditary Princess of Saxony,1498,,,,1537-01-11,1498-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_King_of_Denmark",1481,Christian I of Denmark,"[""Christian I of Denmark"",""Dorothea of Brandenburg""]","[""Aalborg"",""Aalborghus""]",Christian II of Denmark,,1481,"[""Aalborg"",""Aalborghus""]",,,Christina of Saxony,,,,,1513-02-20,1455-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_King_of_England",1199,Richard I of England,"[""Eleanor of Aquitaine"",""Henry II of England""]","[""Nottinghamshire"",""Newark-on-Trent"",""Newark Castle Nottinghamshire""]",Henry III of England,,1199,"[""Oxford"",""Beaumont Palace""]",,,"[""Isabella of Angoulême"",""Isabella Countess of Gloucester""]",,Worcester Cathedral,,,1216-10-19,1166-12-24,Cultural depictions of John of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Margrave_of_Brandenburg-Küstrin",,,"[""Joachim I Nestor Elector of Brandenburg"",""Elizabeth of Denmark Electress of Brandenburg""]",,,Margrave of Brandenburg-Küstrin,,,Margrave of Brandenburg-Küstrin,1571,Catherine of Brunswick-Wolfenbüttel Margravine of Brandenburg-Küstrin,1513,,Hans von Küstrin,,1571-01-13,1513-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Prince_of_Antioch",,,"[""Peter Duke of Coimbra"",""Isabella of Urgell Duchess of Coimbra""]",Nicosia,,Prince of Antioch,,,Prince of Antioch,1457,Charlotte Queen of Cyprus,1431,,,,1457-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Prince_of_Asturias",,,"[""Ferdinand II of Aragon"",""Isabella I of Castile""]",Salamanca,,Prince of AsturiasandGironaDuke of MontblancCount of Cervera andLord of Balaguer,,Seville,,,Margaret of Austria Duchess of Savoy,,,,,1497-10-04,1478-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Prince_of_Portugal_(1451)",,,"[""Afonso V of Portugal"",""Isabella of Coimbra""]",,,Prince of Portugal,,"[""Sintra"",""Kingdom of Portugal"",""Sintra National Palace""]",Prince of portugal,1451,,1451,"[""Portugal"",""Batalha Monastery"",""Leiria District"",""Batalha Portugal""]",,,,1451-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John,_Prince_of_Schleswig-Holstein",,,"[""Frederick II of Denmark"",""Sophie of Mecklenburg-Güstrow""]",,,Duke of Holstein,,,,,,,,,,1602-10-28,1583-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John_Abdy,,,,,,,,,British politician,1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John_Armytage,,,,,,,,,British politician,1758,,1732,,,,1758-09-10,1732-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John_Aubrey-Fletcher,,,,,,,,,English cricketer,1992,,1912,,,,1992-06-19,1912-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John_Balliol,1292,Margaret Maid of Norway,"[""Dervorguilla of Galloway"",""John I de Balliol""]","[""Picardy"",""Château de Hélicourt""]",Robert the Bruce,,1296,"[""London"",""Kingdom of England""]",,,Isabella de Warenne,,,,,1314-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John_Barker-Mill__Baronet-stub__1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John_Beaufort,_1st_Duke_of_Somerset",,Henry Beaufort 2nd Earl of Somerset,"[""John Beaufort 1st Earl of Somerset"",""Margaret Holland Duchess of Clarence""]",,Edmund Beaufort 2nd Duke of Somerset,,,,,,Margaret Beauchamp of Bletso,,,,,1444-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John_Beaufort,_1st_Earl_of_Somerset",,,"[""John of Gaunt"",""Katherine Swynford""]",St Katharine's by the Tower,Henry Beaufort 2nd Earl of Somerset,,,,,,Margaret Holland Duchess of Clarence,,Canterbury Cathedral,,,1410-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John_Bryn_Edwards,,,,,,,,,British businessman,1922,,1889,,,,1922-08-22,1889-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John_Casimir,_Duke_of_Saxe-Coburg",1572,,"[""John Frederick II Duke of Saxony"",""Countess Palatine Elisabeth of Simmern-Sponheim""]",Coburg,Saxe-Eisenach,,1572,Gotha,Duke of Saxe-Coburg (1572-1633),1633,"[""Anna of Saxony (1567–1613)"",""Margaret of Brunswick-Lüneburg""]",1564,,Herzog Johann Casimir von Sachsen-Coburg (German),,1633-07-16,1564-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John_Casimir,_Prince_of_Anhalt-Dessau",1618,John George I Prince of Anhalt-Dessau,"[""John George I Prince of Anhalt-Dessau"",""Countess Palatine Dorothea of Simmern""]",Dessau,John George II Prince of Anhalt-Dessau,Prince of Anhalt-Dessau,1660,Dessau,Prince of Anhalf-Dessau (1618–1660),1660,Agnes of Hesse-Kassel,1596,,Johann Kasimir Fürst von Anhalt-Dessau (German),,1660-09-15,"[""1596-09-05"",""1596-09-07""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John_Cicero,_Elector_of_Brandenburg",1486,Albrecht III Achilles Elector of Brandenburg,"[""Albrecht III Achilles Elector of Brandenburg"",""Margaret of Baden""]",Arneburg,Joachim I Nestor Elector of Brandenburg,Elector of Brandenburg,1499,Ansbach,,,Margaret of Thuringia,,,,,1499-01-09,1455-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John_Corvinus,,,"[""Matthias Corvinus"",""Barbara Edelpöck""]","[""Croatia"",""Krapina""]",,Duke of Silesia and Troppau,,"[""Kingdom of Hungary"",""Buda""]",,,Beatrice de Frangepan,,,,,1504-10-12,1473-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James_Maitland,_8th_Earl_of_Lauderdale",1789,James Maitland 7th Earl of Lauderdale,James Maitland 7th Earl of Lauderdale,,James Maitland 9th Earl of Lauderdale,,1839,,,,,,,,,1839-09-10,1759-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James_Mor_Stewart,,,"[""Murdoch Stewart Duke of Albany"",""Isabella Countess of Lennox""]","[""Ireland"",""Antrim County Antrim""]",,,,"[""Scotland"",""Stirlingshire""]",Scottish rebel,1429,Clan Donald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James_Rivett-Carnac,,,,,,,,,British politician,1846,,1784,,,,1846-01-28,1784-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James_Stuart,_Duke_of_Cambridge",,,"[""Anne Hyde"",""James II of England""]",Richmond Palace,,Duke of Cambridge;Earl of Cambridge;Baron of Dauntsey,,St James's Palace,British prince,1667,,1663,Westminster Abbey,,,1667-06-20,1663-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James_VI_and_I,1567,Mary Queen of Scots,"[""Mary Queen of Scots"",""Henry Stuart Lord Darnley""]","[""Kingdom of England"",""Theobalds House""]",Charles I of England,,1567,"[""Edinburgh Castle"",""Kingdom of Scotland""]",,,Anne of Denmark,,Westminster Abbey,,,1625-03-27,1566-06-19,"[""Witch-hunt"",""Scotland in the early modern period""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James_V_of_Scotland,1513,James IV of Scotland,"[""James IV of Scotland"",""Margaret Tudor""]","[""Falkland Palace"",""Kingdom of Scotland"",""Fife""]",Mary Queen of Scots,,1542,"[""Linlithgow"",""Kingdom of Scotland"",""Linlithgow Palace""]",,,"[""Mary of Guise"",""Madeleine of Valois""]",,Holyrood Abbey,,,1542-12-14,1512-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie_McGrigor__Baronet-stub__1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamsheed_Quli_Qutb_Shah,1543,Quli Qutb Mulk,,,Subhan Quli Qutb Shah,The SecondSultanofQutb Shahi dynasty,1550,,,,,,,,,1550-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamshid_bin_Abdullah_of_Zanzibar,0001,Abdullah bin Khalifa of Zanzibar,Abdullah bin Khalifa of Zanzibar,,Abeid Karume,,0001,"[""Unguja"",""Sultanate of Zanzibar""]",,,,,,,,,1929-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janaka,0007,,,,,,0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane_Lahilahi,,,"[""John Young (Hawaii)"",""Kaoanaeha""]",Honolulu,,,,Kawaihae Hawaii,Hawaiian High chiefess,1862,"[""Kamehameha III"",""Joshua Kaeo""]",1813,,,,1862-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane_Loeau,,,Kuini Liliha,Honolulu,,,,Waimea Kauai County Hawaii,Hawaiian chiefess,1873,,1828,,,,1873-07-30,1828-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane_Mpologoma_Nabanakulya,,,Mutesa II of Buganda,,,,,Bunyoro,,,,,,,,,1964-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane_Seymour,1536,,"[""John Seymour (1474–1536)"",""Margery Wentworth""]",Hampton Court Palace,,,1536,,,,Henry VIII of England,,,,,1537-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jangsu_of_Goguryeo,0413,Gwanggaeto the Great,Gwanggaeto the Great,,Munjamyeong of Goguryeo,,0491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jankibai,1689,,Prataprao Gujar,,,,1700,,Maratha empress consort,1700,Rajaram Chhatrapati,1675,,Janki Bai Maharani Jankibai,,1700-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jankoji_Rao_Scindia_II,,,Patloji_Rao_Scindia,,,Maharaja(Ruler ofGwalior)''',,,,,,,,,,1843-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janus_of_Cyprus,1398,James I of Cyprus,"[""James I of Cyprus"",""Helvis of Brunswick-Grubenhagen""]",Nicosia,John II of Cyprus,,1432,Genoa,,,Charlotte of Bourbon Queen of Cyprus,,,,,1432-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarasandha,,Brihadratha,Brihadratha,,Sahadeva of Magadha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasim_bin_Hamad_bin_Khalifa_Al_Thani,,,"[""Hamad bin Khalifa Al Thani"",""Moza bint Nasser""]",,,,,,Qatari Sheikh,,,1978,,,,,1978-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason_baronets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaswant_Singh_of_Marwar,1638,Maharaja,"[""Maharaja"",""Pratap_Devi""]","[""Peshawar"",""Jamrud""]",Maharaja,Ruler of Marwar,1678,Jodhpur,,,,,,,,1678-12-28,1629-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawahar_Singh,1763,Suraj Mal,Suraj Mal,,Ratan Singh of Bharatpur,Maharaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
